delay,send_time,receive_time,data_length
0.020,1715860223.882,1715860223.902,1000
0.018,1715860225.146,1715860225.164,1000
0.015,1715860226.184,1715860226.199,1000
0.019,1715860227.224,1715860227.243,1000
0.016,1715860228.267,1715860228.283,1000
0.018,1715860229.304,1715860229.322,1000
0.017,1715860230.342,1715860230.359,1000
0.018,1715860231.606,1715860231.624,1000
0.026,1715860232.645,1715860232.671,1000
0.016,1715860233.691,1715860233.707,1000
0.570,1715860234.947,1715860235.517,1000
0.030,1715860236.537,1715860236.567,1000
1.041,1715860237.588,1715860238.629,1000
1.026,1715860239.650,1715860240.676,1000
0.020,1715860241.697,1715860241.717,1000
0.023,1715860242.748,1715860242.771,1000
0.018,1715860243.791,1715860243.809,1000
0.019,1715860244.830,1715860244.849,1000
1.034,1715860246.105,1715860247.139,1000
0.019,1715860248.158,1715860248.177,1000
0.021,1715860249.199,1715860249.220,1000
0.030,1715860250.241,1715860250.271,1000
0.020,1715860251.290,1715860251.310,1000
1.486,1715860252.784,1715860254.270,1000
1.037,1715860255.511,1715860256.548,1000
0.026,1715860257.568,1715860257.594,1000
0.022,1715860258.614,1715860258.636,1000
0.029,1715860259.875,1715860259.904,1000
0.019,1715860261.156,1715860261.175,1000
1.035,1715860262.232,1715860263.267,1000
0.025,1715860264.287,1715860264.312,1000
0.039,1715860265.331,1715860265.370,1000
0.020,1715860266.395,1715860266.415,1000
1.020,1715860267.435,1715860268.455,1000
0.017,1715860269.477,1715860269.494,1000
0.023,1715860270.517,1715860270.540,1000
0.017,1715860271.560,1715860271.577,1000
0.020,1715860272.597,1715860272.617,1000
2.051,1715860273.636,1715860275.687,1000
1.027,1715860276.711,1715860277.738,1000
1.022,1715860278.757,1715860279.779,1000
0.018,1715860280.799,1715860280.817,1000
0.017,1715860281.838,1715860281.855,1000
0.017,1715860282.875,1715860282.892,1000
1.022,1715860283.914,1715860284.936,1000
0.024,1715860285.959,1715860285.983,1000
0.017,1715860287.003,1715860287.020,1000
0.021,1715860288.050,1715860288.071,1000
0.023,1715860289.315,1715860289.338,1000
0.018,1715860290.358,1715860290.376,1000
0.017,1715860291.396,1715860291.413,1000
2.073,1715860292.432,1715860294.505,1000
1.020,1715860295.528,1715860296.548,1000
6.567,1715860297.567,1715860304.134,1000
0.018,1715860305.155,1715860305.173,1000
0.037,1715860306.411,1715860306.448,1000
0.016,1715860307.691,1715860307.707,1000
1.033,1715860308.763,1715860309.796,1000
2.051,1715860310.818,1715860312.869,1000
1.021,1715860313.897,1715860314.918,1000
0.029,1715860316.174,1715860316.203,1000
0.018,1715860317.223,1715860317.241,1000
0.017,1715860318.270,1715860318.287,1000
1.018,1715860319.307,1715860320.325,1000
0.018,1715860321.345,1715860321.363,1000
1.035,1715860322.392,1715860323.427,1000
0.016,1715860326.487,1715860326.503,1000
0.020,1715860327.743,1715860327.763,1000
2.069,1715860328.783,1715860330.852,1000
0.023,1715860331.892,1715860331.915,1000
1.029,1715860332.937,1715860333.966,1000
1.019,1715860334.986,1715860336.005,1000
1.049,1715860337.036,1715860338.085,1000
0.027,1715860339.108,1715860339.135,1000
0.020,1715860340.157,1715860340.177,1000
0.018,1715860341.198,1715860341.216,1000
0.022,1715860342.287,1715860342.309,1000
1.339,1715860343.331,1715860344.670,1000
1.043,1715860345.690,1715860346.733,1000
4.506,1715860347.756,1715860352.262,1000
0.029,1715860353.289,1715860353.318,1000
0.021,1715860354.339,1715860354.360,1000
0.025,1715860355.395,1715860355.420,1000
0.022,1715860356.677,1715860356.699,1000
0.018,1715860357.718,1715860357.736,1000
0.021,1715860358.981,1715860359.002,1000
1.043,1715860360.243,1715860361.286,1000
1.029,1715860362.305,1715860363.334,1000
1.039,1715860364.357,1715860365.396,1000
0.029,1715860366.417,1715860366.446,1000
0.015,1715860367.468,1715860367.483,1000
0.021,1715860368.521,1715860368.542,1000
1.035,1715860369.563,1715860370.598,1000
1.026,1715860371.620,1715860372.646,1000
0.018,1715860373.666,1715860373.684,1000
0.018,1715860374.923,1715860374.941,1000
0.037,1715860375.962,1715860375.999,1000
0.021,1715860377.018,1715860377.039,1000
1.033,1715860378.077,1715860379.110,1000
0.016,1715860380.352,1715860380.368,1000
0.017,1715860381.391,1715860381.408,1000
0.097,1715860382.649,1715860382.746,1000
0.019,1715860383.772,1715860383.791,1000
1.047,1715860384.812,1715860385.859,1000
0.019,1715860386.890,1715860386.909,1000
0.020,1715860387.943,1715860387.963,1000
0.017,1715860388.999,1715860389.016,1000
0.026,1715860390.035,1715860390.061,1000
0.023,1715860391.095,1715860391.118,1000
1.055,1715860392.143,1715860393.198,1000
0.018,1715860394.217,1715860394.235,1000
0.015,1715860395.260,1715860395.275,1000
0.016,1715860396.297,1715860396.313,1000
0.016,1715860397.337,1715860397.353,1000
1.145,1715860398.372,1715860399.517,1000
1.026,1715860400.771,1715860401.797,1000
0.019,1715860404.824,1715860404.843,1000
0.019,1715860405.867,1715860405.886,1000
0.019,1715860408.760,1715860408.779,1000
1.040,1715860409.813,1715860410.853,1000
0.018,1715860411.874,1715860411.892,1000
0.020,1715860412.911,1715860412.931,1000
0.021,1715860413.951,1715860413.972,1000
0.100,1715860414.994,1715860415.094,1000
3.125,1715860416.118,1715860419.243,1000
0.028,1715860420.535,1715860420.563,1000
0.023,1715860421.581,1715860421.604,1000
0.015,1715860422.625,1715860422.640,1000
0.017,1715860423.661,1715860423.678,1000
0.020,1715860424.923,1715860424.943,1000
0.016,1715860426.192,1715860426.208,1000
0.014,1715860427.230,1715860427.244,1000
1.019,1715860428.266,1715860429.285,1000
1.034,1715860432.314,1715860433.348,1000
1.020,1715860434.378,1715860435.398,1000
0.018,1715860436.417,1715860436.435,1000
